soc_code,title,n_software
33-3011.00,Bailiffs,18
33-3012.00,Correctional Officers and Jailers,14
33-3021.00,Detectives and Criminal Investigators,38
33-3021.02,Police Identification and Records Officers,26
33-3021.06,Intelligence Analysts,84
33-3031.00,Fish and Game Wardens,13
33-3041.00,Parking Enforcement Workers,14
33-3051.00,Police and Sheriff's Patrol Officers,28
33-3051.04,Customs and Border Protection Officers,12
33-3052.00,Transit and Railroad Police,14
33-9011.00,Animal Control Workers,22
33-9021.00,Private Detectives and Investigators,14
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,8
33-9032.00,Security Guards,11
33-9091.00,Crossing Guards and Flaggers,3
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",6
33-9093.00,Transportation Security Screeners,12
33-9094.00,School Bus Monitors,2
33-9099.02,Retail Loss Prevention Specialists,15
35-1011.00,Chefs and Head Cooks,25
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,35
35-2011.00,"Cooks, Fast Food",8
35-2012.00,"Cooks, Institution and Cafeteria",9
35-2013.00,"Cooks, Private Household",10
35-2014.00,"Cooks, Restaurant",10
35-2015.00,"Cooks, Short Order",6
35-2021.00,Food Preparation Workers,15
35-3011.00,Bartenders,12
35-3023.00,Fast Food and Counter Workers,17
35-3023.01,Baristas,5
35-3031.00,Waiters and Waitresses,11
35-3041.00,"Food Servers, Nonrestaurant",8
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,6
35-9021.00,Dishwashers,2
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",11
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,17
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",9
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",7
37-2012.00,Maids and Housekeeping Cleaners,9
37-2021.00,Pest Control Workers,12
37-3011.00,Landscaping and Groundskeeping Workers,6
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",10
37-3013.00,Tree Trimmers and Pruners,4
39-1013.00,First-Line Supervisors of Gambling Services Workers,9
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",10
39-1022.00,First-Line Supervisors of Personal Service Workers,10
39-2011.00,Animal Trainers,17
39-2021.00,Animal Caretakers,17
39-3011.00,Gambling Dealers,6
39-3012.00,Gambling and Sports Book Writers and Runners,7
39-3021.00,Motion Picture Projectionists,12
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",8
39-3091.00,Amusement and Recreation Attendants,10
39-3092.00,Costume Attendants,7
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",9
39-4011.00,Embalmers,10
39-4012.00,Crematory Operators,5
39-4021.00,Funeral Attendants,5
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",16
39-5011.00,Barbers,11
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",10
39-5091.00,"Makeup Artists, Theatrical and Performance",21
39-5092.00,Manicurists and Pedicurists,9
39-5093.00,Shampooers,5
39-5094.00,Skincare Specialists,6
39-6011.00,Baggage Porters and Bellhops,5
39-6012.00,Concierges,13
39-7011.00,Tour Guides and Escorts,22
39-7012.00,Travel Guides,16
39-9011.00,Childcare Workers,10
39-9011.01,Nannies,5
39-9031.00,Exercise Trainers and Group Fitness Instructors,22
39-9032.00,Recreation Workers,18
39-9041.00,Residential Advisors,12
41-1011.00,First-Line Supervisors of Retail Sales Workers,110
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,29
41-2011.00,Cashiers,14
41-2012.00,Gambling Change Persons and Booth Cashiers,4
41-2021.00,Counter and Rental Clerks,10
41-2022.00,Parts Salespersons,13
41-2031.00,Retail Salespersons,79
41-3011.00,Advertising Sales Agents,24
41-3021.00,Insurance Sales Agents,67
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",73
41-3041.00,Travel Agents,30
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",14
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",67
41-4011.07,Solar Sales Representatives and Assessors,18
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",141
41-9011.00,Demonstrators and Product Promoters,15
41-9012.00,Models,13
41-9021.00,Real Estate Brokers,34
41-9022.00,Real Estate Sales Agents,98
41-9031.00,Sales Engineers,97
41-9041.00,Telemarketers,15
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",6
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,89
43-2011.00,"Switchboard Operators, Including Answering Service",11
43-2021.00,Telephone Operators,11
43-3011.00,Bill and Account Collectors,44
43-3021.00,Billing and Posting Clerks,59
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",121
43-3041.00,Gambling Cage Workers,7
43-3051.00,Payroll and Timekeeping Clerks,67
43-3061.00,Procurement Clerks,23
43-3071.00,Tellers,19
43-4011.00,Brokerage Clerks,31
43-4021.00,Correspondence Clerks,17
43-4031.00,"Court, Municipal, and License Clerks",19
43-4041.00,"Credit Authorizers, Checkers, and Clerks",18
43-4051.00,Customer Service Representatives,113
43-4061.00,"Eligibility Interviewers, Government Programs",18
43-4071.00,File Clerks,15
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",16
43-4111.00,"Interviewers, Except Eligibility and Loan",24
43-4121.00,"Library Assistants, Clerical",21
43-4131.00,Loan Interviewers and Clerks,21
43-4141.00,New Accounts Clerks,19
43-4151.00,Order Clerks,23
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",41
43-4171.00,Receptionists and Information Clerks,41
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,20
43-5011.00,Cargo and Freight Agents,19
43-5011.01,Freight Forwarders,25
43-5021.00,Couriers and Messengers,5
43-5031.00,Public Safety Telecommunicators,18
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",35
43-5041.00,"Meter Readers, Utilities",14
43-5051.00,Postal Service Clerks,8
43-5052.00,Postal Service Mail Carriers,11
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",17
43-5061.00,"Production, Planning, and Expediting Clerks",94
43-5071.00,"Shipping, Receiving, and Inventory Clerks",52
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",22
43-6011.00,Executive Secretaries and Executive Administrative Assistants,96
43-6012.00,Legal Secretaries and Administrative Assistants,47
43-6013.00,Medical Secretaries and Administrative Assistants,52
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",132
43-9021.00,Data Entry Keyers,26
43-9022.00,Word Processors and Typists,21
43-9031.00,Desktop Publishers,95
43-9041.00,Insurance Claims and Policy Processing Clerks,29
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",14
43-9061.00,"Office Clerks, General",61
43-9071.00,"Office Machine Operators, Except Computer",14
43-9081.00,Proofreaders and Copy Markers,38
43-9111.00,Statistical Assistants,46
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",24
45-2011.00,Agricultural Inspectors,10
45-2021.00,Animal Breeders,22
45-2041.00,"Graders and Sorters, Agricultural Products",8
45-2091.00,Agricultural Equipment Operators,6
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",10
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",9
45-3031.00,Fishing and Hunting Workers,13
45-4011.00,Forest and Conservation Workers,16
45-4021.00,Fallers,13
45-4022.00,Logging Equipment Operators,8
45-4023.00,Log Graders and Scalers,13
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,24
47-1011.03,Solar Energy Installation Managers,30
47-2011.00,Boilermakers,9
47-2021.00,Brickmasons and Blockmasons,10
47-2022.00,Stonemasons,13
47-2031.00,Carpenters,17
47-2041.00,Carpet Installers,15
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",13
47-2043.00,Floor Sanders and Finishers,8
47-2044.00,Tile and Stone Setters,10
47-2051.00,Cement Masons and Concrete Finishers,10
47-2053.00,Terrazzo Workers and Finishers,8
47-2061.00,Construction Laborers,7
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",11
47-2072.00,Pile Driver Operators,6
47-2073.00,Operating Engineers and Other Construction Equipment Operators,6
47-2081.00,Drywall and Ceiling Tile Installers,11
47-2082.00,Tapers,8
47-2111.00,Electricians,33
47-2121.00,Glaziers,7
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",8
47-2132.00,"Insulation Workers, Mechanical",5
47-2141.00,"Painters, Construction and Maintenance",14
47-2142.00,Paperhangers,10
47-2151.00,Pipelayers,4
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",45
47-2152.04,Solar Thermal Installers and Technicians,21
47-2161.00,Plasterers and Stucco Masons,19
47-2171.00,Reinforcing Iron and Rebar Workers,6
47-2181.00,Roofers,23
47-2211.00,Sheet Metal Workers,21
47-2221.00,Structural Iron and Steel Workers,6
47-2231.00,Solar Photovoltaic Installers,10
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",21
47-3012.00,Helpers--Carpenters,22
47-3013.00,Helpers--Electricians,5
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",11
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",3
47-3016.00,Helpers--Roofers,12
47-4011.00,Construction and Building Inspectors,33
47-4011.01,Energy Auditors,63
47-4021.00,Elevator and Escalator Installers and Repairers,8
47-4031.00,Fence Erectors,6
47-4041.00,Hazardous Materials Removal Workers,15
47-4051.00,Highway Maintenance Workers,9
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,4
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,7
47-4091.00,Segmental Pavers,11
47-4099.03,Weatherization Installers and Technicians,15
47-5011.00,"Derrick Operators, Oil and Gas",3
47-5012.00,"Rotary Drill Operators, Oil and Gas",12
47-5013.00,"Service Unit Operators, Oil and Gas",11
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",12
47-5023.00,"Earth Drillers, Except Oil and Gas",4
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",11
47-5041.00,Continuous Mining Machine Operators,9
47-5043.00,"Roof Bolters, Mining",2
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",9
47-5051.00,"Rock Splitters, Quarry",12
47-5071.00,"Roustabouts, Oil and Gas",20
47-5081.00,Helpers--Extraction Workers,6
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",40
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",44
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",15
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",17
49-2091.00,Avionics Technicians,23
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",12
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",18
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",17
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",11
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",12
49-2097.00,Audiovisual Equipment Installers and Repairers,5
49-2098.00,Security and Fire Alarm Systems Installers,12
49-3011.00,Aircraft Mechanics and Service Technicians,26
49-3021.00,Automotive Body and Related Repairers,18
49-3022.00,Automotive Glass Installers and Repairers,5
49-3023.00,Automotive Service Technicians and Mechanics,35
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,18
49-3041.00,Farm Equipment Mechanics and Service Technicians,8
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",10
49-3043.00,Rail Car Repairers,13
49-3051.00,Motorboat Mechanics and Service Technicians,10
49-3052.00,Motorcycle Mechanics,11
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,9
49-3091.00,Bicycle Repairers,9
49-3092.00,Recreational Vehicle Service Technicians,9
49-3093.00,Tire Repairers and Changers,6
49-9011.00,Mechanical Door Repairers,9
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",24
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",30
49-9031.00,Home Appliance Repairers,12
49-9041.00,Industrial Machinery Mechanics,16
49-9043.00,"Maintenance Workers, Machinery",14
49-9044.00,Millwrights,8
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",7
49-9051.00,Electrical Power-Line Installers and Repairers,13
49-9052.00,Telecommunications Line Installers and Repairers,15
49-9061.00,Camera and Photographic Equipment Repairers,6
49-9062.00,Medical Equipment Repairers,13
49-9063.00,Musical Instrument Repairers and Tuners,10
49-9064.00,Watch and Clock Repairers,11
49-9071.00,"Maintenance and Repair Workers, General",36
49-9081.00,Wind Turbine Service Technicians,17
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",7
49-9092.00,Commercial Divers,5
49-9094.00,Locksmiths and Safe Repairers,13
49-9095.00,Manufactured Building and Mobile Home Installers,3
49-9096.00,Riggers,5
49-9097.00,Signal and Track Switch Repairers,8
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",15
49-9099.01,Geothermal Technicians,13
51-1011.00,First-Line Supervisors of Production and Operating Workers,57
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",10
51-2021.00,"Coil Winders, Tapers, and Finishers",3
51-2022.00,Electrical and Electronic Equipment Assemblers,11
51-2023.00,Electromechanical Equipment Assemblers,7
51-2031.00,Engine and Other Machine Assemblers,8
51-2041.00,Structural Metal Fabricators and Fitters,10
51-2051.00,Fiberglass Laminators and Fabricators,5
51-2061.00,Timing Device Assemblers and Adjusters,6
51-2092.00,Team Assemblers,11
51-3011.00,Bakers,23
51-3021.00,Butchers and Meat Cutters,6
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",4
51-3023.00,Slaughterers and Meat Packers,9
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2
51-3092.00,Food Batchmakers,3
51-3093.00,Food Cooking Machine Operators and Tenders,1
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",8
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",3
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",10
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",5
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",16
51-4041.00,Machinists,35
51-4051.00,Metal-Refining Furnace Operators and Tenders,5
51-4052.00,"Pourers and Casters, Metal",5
51-4061.00,"Model Makers, Metal and Plastic",5
51-4062.00,"Patternmakers, Metal and Plastic",6
51-4071.00,Foundry Mold and Coremakers,7
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",10
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",11
51-4111.00,Tool and Die Makers,32
51-4121.00,"Welders, Cutters, Solderers, and Brazers",13
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",13
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",6
51-4192.00,"Layout Workers, Metal and Plastic",9
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",7
51-4194.00,"Tool Grinders, Filers, and Sharpeners",6
51-5111.00,Prepress Technicians and Workers,27
51-5112.00,Printing Press Operators,29
51-5113.00,Print Binding and Finishing Workers,11
51-6011.00,Laundry and Dry-Cleaning Workers,11
51-6021.00,"Pressers, Textile, Garment, and Related Materials",3
51-6031.00,Sewing Machine Operators,6
51-6041.00,Shoe and Leather Workers and Repairers,5
51-6042.00,Shoe Machine Operators and Tenders,8
51-6051.00,"Sewers, Hand",11
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",9
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,8
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",8
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",6
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",5
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",9
51-6092.00,Fabric and Apparel Patternmakers,11
51-6093.00,Upholsterers,9
51-7011.00,Cabinetmakers and Bench Carpenters,7
51-7021.00,Furniture Finishers,5
51-7031.00,"Model Makers, Wood",6
51-7032.00,"Patternmakers, Wood",8
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",7
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",26
51-8011.00,Nuclear Power Reactor Operators,12
51-8012.00,Power Distributors and Dispatchers,29
51-8013.00,Power Plant Operators,27
51-8013.03,Biomass Plant Technicians,8
51-8013.04,Hydroelectric Plant Technicians,9
51-8021.00,Stationary Engineers and Boiler Operators,18
51-8031.00,Water and Wastewater Treatment Plant and System Operators,18
51-8091.00,Chemical Plant and System Operators,7
51-8092.00,Gas Plant Operators,12
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",7
51-8099.01,Biofuels Processing Technicians,12
51-9011.00,Chemical Equipment Operators and Tenders,8
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",9
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",7
51-9022.00,"Grinding and Polishing Workers, Hand",2
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",11
51-9031.00,"Cutters and Trimmers, Hand",3
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",4
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",8
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",4
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",42
51-9071.00,Jewelers and Precious Stone and Metal Workers,13
51-9071.06,Gem and Diamond Workers,7
51-9081.00,Dental Laboratory Technicians,29
51-9082.00,Medical Appliance Technicians,12
51-9083.00,Ophthalmic Laboratory Technicians,8
51-9111.00,Packaging and Filling Machine Operators and Tenders,11
51-9123.00,"Painting, Coating, and Decorating Workers",5
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",11
51-9141.00,Semiconductor Processing Technicians,11
51-9151.00,Photographic Process Workers and Processing Machine Operators,25
51-9161.00,Computer Numerically Controlled Tool Operators,61
51-9162.00,Computer Numerically Controlled Tool Programmers,81
51-9191.00,Adhesive Bonding Machine Operators and Tenders,6
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,5
51-9194.00,Etchers and Engravers,8
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",10
51-9195.03,"Stone Cutters and Carvers, Manufacturing",6
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",4
51-9195.05,"Potters, Manufacturing",3
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",10
51-9197.00,Tire Builders,11
51-9198.00,Helpers--Production Workers,12
53-1041.00,Aircraft Cargo Handling Supervisors,9
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",17
53-1042.01,Recycling Coordinators,11
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,35
53-1044.00,First-Line Supervisors of Passenger Attendants,17
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",25
53-2012.00,Commercial Pilots,33
53-2021.00,Air Traffic Controllers,20
53-2022.00,Airfield Operations Specialists,24
53-2031.00,Flight Attendants,12
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",8
53-3031.00,Driver/Sales Workers,11
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,20
53-3033.00,Light Truck Drivers,14
53-3051.00,"Bus Drivers, School",3
53-3052.00,"Bus Drivers, Transit and Intercity",4
53-3053.00,Shuttle Drivers and Chauffeurs,18
53-3054.00,Taxi Drivers,15
53-4011.00,Locomotive Engineers,5
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",8
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",8
53-4031.00,Railroad Conductors and Yardmasters,14
53-4041.00,Subway and Streetcar Operators,2
53-5011.00,Sailors and Marine Oilers,12
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",18
53-5022.00,Motorboat Operators,8
53-5031.00,Ship Engineers,22
53-6011.00,Bridge and Lock Tenders,9
53-6021.00,Parking Attendants,8
53-6031.00,Automotive and Watercraft Service Attendants,11
53-6032.00,Aircraft Service Attendants,12
53-6041.00,Traffic Technicians,29
53-6051.00,Transportation Inspectors,8
53-6051.01,Aviation Inspectors,17
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",15
53-6061.00,Passenger Attendants,6
53-7011.00,Conveyor Operators and Tenders,7
53-7021.00,Crane and Tower Operators,6
53-7031.00,Dredge Operators,6
53-7041.00,Hoist and Winch Operators,2
53-7051.00,Industrial Truck and Tractor Operators,18
53-7061.00,Cleaners of Vehicles and Equipment,6
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",21
53-7062.04,Recycling and Reclamation Workers,4
53-7063.00,Machine Feeders and Offbearers,5
53-7064.00,"Packers and Packagers, Hand",7
53-7065.00,Stockers and Order Fillers,20
53-7071.00,Gas Compressor and Gas Pumping Station Operators,6
53-7072.00,"Pump Operators, Except Wellhead Pumpers",7
53-7073.00,Wellhead Pumpers,8
53-7081.00,Refuse and Recyclable Material Collectors,10
53-7121.00,"Tank Car, Truck, and Ship Loaders",7
